id_solicitante,nombre_completo,cedula,telefono,email,id_barrio,direccion,acepta_habeas,fecha_registro
1,Diego Sánchez Acosta,91503378,3202921542,diego.sánchez172@outlook.com,30,Carrera 40 #14-75,True,2025-07-12
2,Daniela Moreno Torres,90585882,3213030966,daniela.moreno105@hotmail.com,46,Calle 45 #69-55,True,2025-05-11
3,Paula Gómez Rojas,95306788,3238713146,paula.gómez444@gmail.com,27,Carrera 56 #23-94,True,2025-10-07
4,Carolina Cortés Reyes,46023439,3115118725,carolina.cortés846@empresa.com.co,50,Calle 36 #113-58,True,2025-08-20
5,Carolina Moreno Suárez,38470244,3115334434,carolina.moreno187@outlook.com,22,Transversal 36 #113-77,True,2025-07-03
6,María Rubio Cortés,42255732,3208987516,maría.rubio501@empresa.com.co,13,Diagonal 58 #102-3,True,2025-06-19
7,Sofía Torres Rubio,56138336,3126549757,sofía.torres567@empresa.com.co,43,Transversal 90 #59-35,True,2025-06-22
8,Pedro Vargas Sánchez,74988034,3109801946,pedro.vargas197@hotmail.com,8,Transversal 13 #107-25,True,2025-07-25
9,Andrés Gómez Rodríguez,84270583,3103118618,andrés.gómez47@outlook.com,46,Diagonal 14 #112-2,True,2025-08-22
10,Mónica Vargas Ramírez,74119726,3012096280,,12,Diagonal 63 #10-74,True,2025-05-07
11,Luisa Reyes Cortés,65857931,3154786401,luisa.reyes122@hotmail.com,20,Diagonal 58 #117-57,True,2025-09-21
12,Andrés Reyes Sánchez,93955206,3055440025,andrés.reyes971@gmail.com,40,Calle 21 #31-23,True,2025-06-03
13,Jorge Castro Pérez,48668783,3205743227,jorge.castro34@outlook.com,45,Diagonal 10 #88-30,True,2025-10-01
14,Pedro Jiménez Ramírez,29090631,3012000560,pedro.jiménez931@hotmail.com,8,Carrera 102 #40-77,True,2025-09-16
15,Mónica García Ramírez,77172238,3149284509,mónica.garcía966@empresa.com.co,30,Diagonal 11 #77-6,True,2025-07-15
16,Camilo Gómez Ramírez,87342561,3003939212,camilo.gómez784@gmail.com,6,Diagonal 67 #84-57,True,2025-06-09
17,Jorge Suárez Vargas,99943797,3013698193,jorge.suárez342@empresa.com.co,6,Transversal 53 #89-64,True,2025-08-04
18,Carlos Castro Moreno,79067939,3221019311,carlos.castro119@outlook.com,6,Diagonal 53 #7-25,True,2025-09-30
19,Mónica Rodríguez Torres,68802946,3239132114,mónica.rodríguez950@hotmail.com,14,Calle 4 #81-78,True,2025-06-03
20,Valentina Gómez García,71934487,3013583206,valentina.gómez862@hotmail.com,36,Diagonal 120 #92-38,True,2025-07-02
21,Laura Suárez Sánchez,90447099,3143290229,laura.suárez393@hotmail.com,16,Calle 36 #99-102,True,2025-07-20
22,Camilo Gómez López,69934576,3149125900,camilo.gómez887@empresa.com.co,19,Transversal 43 #71-98,True,2025-08-18
23,Pedro Pérez Vargas,73481797,3207395997,pedro.pérez45@empresa.com.co,37,Diagonal 85 #102-106,True,2025-06-01
24,Carlos López Vargas,23470708,3228387112,,33,Calle 68 #117-59,True,2025-05-30
25,Luisa Martínez Acosta,63349308,3162347467,luisa.martínez347@outlook.com,31,Transversal 110 #87-110,True,2025-07-14
26,Laura Cortés Torres,40532691,3202516313,laura.cortés647@hotmail.com,3,Diagonal 13 #98-82,True,2025-05-19
27,Diana Torres Rojas,60310319,3123442255,diana.torres301@gmail.com,2,Carrera 68 #53-73,True,2025-06-09
28,Diana Martínez Reyes,29208935,3058736811,diana.martínez510@hotmail.com,40,Transversal 59 #33-86,True,2025-08-21
29,Valentina Hernández Torres,95756900,3125195951,valentina.hernández602@outlook.com,5,Diagonal 109 #39-26,False,2025-08-25
30,Sofía Moreno Torres,12944682,3227640518,sofía.moreno717@outlook.com,37,Transversal 2 #73-111,True,2025-05-06
31,Laura Torres Sánchez,93334601,3103294774,laura.torres225@outlook.com,50,Calle 116 #81-83,True,2025-08-14
32,Diego Rojas Jiménez,33574011,3053217273,diego.rojas335@outlook.com,47,Transversal 68 #65-117,True,2025-06-05
33,Laura Torres Martínez,28892086,3214785186,laura.torres480@gmail.com,48,Diagonal 109 #103-72,True,2025-08-03
34,Camilo Cortés Moreno,95704631,3112817745,camilo.cortés599@outlook.com,8,Carrera 61 #4-80,True,2025-09-14
35,Carolina Pérez Torres,97139443,3122957497,carolina.pérez932@empresa.com.co,42,Carrera 6 #5-39,False,2025-05-23
36,Sofía Cortés Cortés,66254240,3153592464,sofía.cortés687@outlook.com,9,Diagonal 84 #13-107,True,2025-08-06
37,Carlos Rojas Rojas,23335151,3167162857,carlos.rojas876@hotmail.com,14,Transversal 8 #51-36,True,2025-05-25
38,Juan Sánchez Vargas,42691263,3024442778,juan.sánchez52@gmail.com,42,Calle 107 #98-71,True,2025-06-18
39,Paula López Cortés,43642236,3213927575,paula.lópez134@hotmail.com,39,Calle 85 #111-4,True,2025-07-24
40,Diego Vargas Jiménez,80610004,3012066326,diego.vargas130@gmail.com,2,Diagonal 58 #100-47,True,2025-05-21
41,Santiago Pérez Gómez,18163847,3137738019,santiago.pérez470@outlook.com,40,Diagonal 88 #14-63,True,2025-08-15
42,Juan Vargas Acosta,94970119,3156455706,juan.vargas282@hotmail.com,39,Diagonal 77 #68-38,True,2025-09-25
43,Ana García Castro,40667888,3126686328,ana.garcía441@hotmail.com,42,Diagonal 52 #54-94,True,2025-08-11
44,Camilo Rojas Martínez,21457410,3018245685,camilo.rojas69@empresa.com.co,10,Calle 96 #95-48,True,2025-09-13
45,Diego Cortés Rojas,99300492,3218095702,diego.cortés421@gmail.com,36,Calle 37 #77-40,True,2025-09-18
46,Pedro López Cortés,59333209,3015673599,pedro.lópez359@gmail.com,43,Carrera 104 #55-109,True,2025-09-30
47,Valentina Gómez Hernández,46677730,3206183902,valentina.gómez30@outlook.com,39,Transversal 45 #1-24,True,2025-09-15
48,Daniela Martínez Rubio,38874646,3128043620,daniela.martínez94@gmail.com,10,Diagonal 44 #21-48,True,2025-07-16
49,Carolina Martínez Martínez,46521025,3138113787,carolina.martínez691@gmail.com,4,Diagonal 78 #57-54,True,2025-09-02
50,Felipe Jiménez Torres,16095815,3057631419,felipe.jiménez540@empresa.com.co,8,Calle 1 #27-39,False,2025-05-29
51,Andrés Vargas López,61030579,3144860617,andrés.vargas180@empresa.com.co,8,Transversal 10 #51-111,True,2025-08-13
52,Mónica Martínez Jiménez,48858073,3017795314,mónica.martínez727@empresa.com.co,21,Calle 42 #22-103,False,2025-08-19
53,Felipe Martínez Reyes,63747464,3142319479,felipe.martínez447@hotmail.com,28,Diagonal 112 #40-96,True,2025-07-18
54,Juan Rubio Rojas,57123808,3203477824,juan.rubio928@hotmail.com,41,Carrera 14 #19-33,True,2025-09-25
55,Juan Hernández Reyes,87774890,3136422534,juan.hernández773@empresa.com.co,50,Transversal 20 #57-9,True,2025-10-02
56,Camilo Reyes Castro,70654852,3001954456,camilo.reyes318@gmail.com,4,Transversal 107 #37-10,True,2025-05-17
57,Carolina Rubio Reyes,97488142,3056394323,carolina.rubio461@gmail.com,25,Diagonal 65 #20-8,True,2025-07-20
58,Santiago Hernández Rubio,80162053,3153663319,santiago.hernández450@empresa.com.co,3,Transversal 48 #118-37,True,2025-07-19
59,Carolina Rodríguez García,84888554,3167485471,carolina.rodríguez338@gmail.com,41,Transversal 33 #93-110,True,2025-09-25
