id_trabajador,nombre_completo,identificacion,tipo_persona,telefono,email,id_barrio,direccion,anos_experiencia,calificacion_promedio,disponibilidad,cobertura_km,tiene_arl,fecha_registro
1,Santiago Castro López,29891032-2,Persona Natural,3152681144,santiago.castro116@empresa.com.co,1,Calle 101 #37-112,2,4.2,HOY,8,True,2025-08-26
2,Carolina Suárez López,92979370-0,Persona Natural,3157739741,carolina.suárez283@hotmail.com,3,Transversal 89 #31-7,5,3.17,HOY,3,True,2025-07-10
3,Camilo Suárez López,50329802-2,SAS,3208434162,camilo.suárez996@gmail.com,45,Transversal 35 #94-54,4,4.17,HOY,5,False,2025-08-06
4,Santiago Rojas Rubio,64141437-7,Ltda,3029796063,santiago.rojas68@hotmail.com,4,Calle 23 #25-113,9,3.47,INMEDIATA,3,True,2025-07-25
5,Camilo Rojas Gómez,42472381-1,PN,3119200480,camilo.rojas651@empresa.com.co,30,Carrera 112 #61-76,2,4.15,HOY,15,False,2025-05-17
6,María Moreno Pérez,96889858-8,SAS,3054468370,maría.moreno875@hotmail.com,4,Diagonal 66 #3-111,7,3.46,INMEDIATA,10,False,2025-10-06
7,Carolina Gómez Ramírez,66882385-5,Ltda,3237316209,carolina.gómez623@outlook.com,15,Diagonal 33 #28-60,4,4.87,PROGRAMADA,10,True,2025-04-25
8,Felipe Cortés Suárez,18568064-4,PN,3115638619,felipe.cortés306@outlook.com,42,Transversal 34 #84-92,11,4.09,INMEDIATA,5,True,2025-06-24
9,Carolina Moreno Gómez,97966375-5,SAS,3135959422,carolina.moreno698@outlook.com,43,Diagonal 52 #50-95,12,4.47,PROGRAMADA,5,True,2025-06-19
10,Valentina Suárez Hernández,98263548-8,Ltda,3234038955,valentina.suárez520@outlook.com,43,Diagonal 17 #95-34,5,3.67,INMEDIATA,15,False,2025-10-08
11,Sofía Rojas Rojas,44971668-8,Ltda,3155933359,sofía.rojas431@outlook.com,15,Calle 61 #7-111,2,3.81,PROGRAMADA,3,True,2025-06-12
12,Ana Moreno López,28436852-2,PN,3056749046,ana.moreno424@outlook.com,34,Diagonal 19 #41-111,4,3.45,HOY,8,True,2025-06-08
13,Carlos Gómez Reyes,31264801-1,SAS,3132477088,carlos.gómez215@outlook.com,29,Diagonal 82 #55-52,1,4.55,INMEDIATA,3,True,2025-07-28
14,Paula Rubio Pérez,40368869-9,PN,3206777230,paula.rubio693@gmail.com,13,Calle 50 #65-76,5,4.47,INMEDIATA,8,False,2025-08-18
15,Carolina Rubio Vargas,75790669-9,SAS,3114161264,carolina.rubio910@empresa.com.co,22,Diagonal 3 #30-29,5,4.04,PROGRAMADA,3,True,2025-06-06
16,Felipe Rodríguez Acosta,16437132-2,PN,3162813842,felipe.rodríguez790@outlook.com,25,Calle 7 #89-15,2,4.54,PROGRAMADA,8,True,2025-06-02
17,María Torres Acosta,91286864-4,Ltda,3203301222,maría.torres679@gmail.com,27,Calle 66 #93-80,7,4.47,INMEDIATA,10,True,2025-06-14
18,Santiago Sánchez Rodríguez,83569939-9,SAS,3134484526,santiago.sánchez303@empresa.com.co,23,Diagonal 43 #31-1,7,4.32,INMEDIATA,12,True,2025-06-01
19,Santiago Martínez Pérez,71304112-2,Ltda,3105431282,santiago.martínez927@gmail.com,47,Calle 105 #23-112,9,4.4,PROGRAMADA,8,True,2025-05-23
20,Carlos Gómez Castro,93457527-7,Ltda,3102559464,carlos.gómez337@hotmail.com,9,Transversal 24 #15-52,2,4.62,HOY,15,False,2025-08-09
21,Diana García García,65838294-4,SAS,3239097940,diana.garcía966@gmail.com,9,Diagonal 24 #79-49,7,3.62,PROGRAMADA,15,False,2025-05-27
22,Laura García Ramírez,97909064-4,PN,3111207369,laura.garcía48@empresa.com.co,27,Carrera 86 #112-44,0,4.21,PROGRAMADA,3,True,2025-06-26
23,Felipe Moreno Rubio,72986894-4,SAS,3229318729,felipe.moreno12@gmail.com,10,Calle 97 #63-42,6,5,INMEDIATA,12,True,2025-10-05
24,Daniela Pérez Martínez,76901651-1,Persona Natural,3136302632,daniela.pérez455@empresa.com.co,6,Diagonal 96 #84-3,9,4.61,PROGRAMADA,12,True,2025-05-17
25,Carolina Torres Vargas,58767001-1,Persona Natural,3221910586,carolina.torres671@hotmail.com,33,Diagonal 43 #72-99,2,3.91,PROGRAMADA,8,True,2025-05-23
26,Sofía Gómez Cortés,80059652-2,Ltda,3112783791,sofía.gómez850@outlook.com,22,Carrera 64 #18-106,4,3.52,INMEDIATA,8,True,2025-06-11
27,Daniela Sánchez García,65629268-8,Ltda,3003067274,daniela.sánchez734@hotmail.com,30,Diagonal 59 #85-76,8,4.23,HOY,3,True,2025-05-06
28,Jorge Reyes López,23898777-7,SAS,3126399642,jorge.reyes709@hotmail.com,31,Diagonal 54 #78-118,4,3.95,HOY,8,False,2025-08-17
29,Luisa Jiménez Cortés,94903891-1,Ltda,3054370359,luisa.jiménez864@outlook.com,39,Transversal 88 #45-118,0,3.05,PROGRAMADA,5,True,2025-10-18
30,Paula García Reyes,86589761-1,Persona Natural,3168004117,paula.garcía576@outlook.com,49,Transversal 113 #109-55,7,3.73,INMEDIATA,10,True,2025-10-12
31,Pedro Ramírez López,18325904-4,Ltda,3205951637,pedro.ramírez294@hotmail.com,49,Calle 46 #105-58,12,4.9,PROGRAMADA,12,False,2025-10-06
32,Daniela Pérez Moreno,62016704-4,PN,3126245463,daniela.pérez710@outlook.com,33,Calle 2 #96-33,8,5,HOY,5,False,2025-10-21
33,Felipe Reyes Torres,70238919-9,SAS,3022249382,felipe.reyes795@hotmail.com,35,Carrera 95 #66-16,2,4.67,PROGRAMADA,8,True,2025-09-20
34,María Vargas Vargas,90111922-2,SAS,3006052539,maría.vargas41@hotmail.com,30,Transversal 10 #101-91,4,4.62,INMEDIATA,12,True,2025-08-31
35,Jorge Cortés Pérez,38635863-3,Ltda,3166568081,jorge.cortés95@empresa.com.co,35,Transversal 28 #97-80,7,3.98,PROGRAMADA,3,True,2025-07-21
36,Sofía Acosta Vargas,61186964-4,PN,3232902100,sofía.acosta982@hotmail.com,40,Transversal 4 #117-67,7,3.86,PROGRAMADA,10,True,2025-07-08
37,Pedro Vargas Hernández,82205759-9,PN,3141122986,pedro.vargas971@gmail.com,33,Carrera 86 #81-100,7,5,INMEDIATA,5,True,2025-10-20
38,Juan López Rodríguez,21746856-6,Ltda,3011910467,juan.lópez735@empresa.com.co,2,Transversal 72 #10-74,9,3.31,HOY,10,True,2025-08-05
39,Paula Gómez Acosta,18487605-5,PN,3211763646,paula.gómez548@gmail.com,25,Calle 46 #119-65,11,4.84,HOY,12,True,2025-08-14
40,Daniela Gómez López,62478133-3,SAS,3215948917,daniela.gómez547@hotmail.com,31,Carrera 39 #87-114,12,3.84,PROGRAMADA,15,True,2025-04-26
41,Valentina López Cortés,83487621-1,Persona Natural,3016111869,valentina.lópez6@gmail.com,8,Transversal 28 #53-116,3,3.82,INMEDIATA,5,True,2025-06-27
42,Ana Hernández Cortés,19817298-8,Persona Natural,3102130159,ana.hernández872@gmail.com,43,Carrera 93 #75-63,9,4.16,PROGRAMADA,15,True,2025-07-05
43,Juan Sánchez Acosta,98506156-6,Ltda,3103556763,juan.sánchez462@empresa.com.co,21,Transversal 104 #41-55,7,4.68,INMEDIATA,15,True,2025-08-13
44,Felipe López Castro,69774935-5,Persona Natural,3116124966,felipe.lópez899@outlook.com,44,Calle 23 #83-78,8,4.5,INMEDIATA,12,True,2025-10-01
45,Juan Gómez Reyes,38556255-5,Persona Natural,3231614990,juan.gómez833@gmail.com,33,Diagonal 84 #100-20,4,4.57,PROGRAMADA,15,False,2025-05-28
46,Santiago Rubio Pérez,92414513-3,PN,3163782393,santiago.rubio373@empresa.com.co,6,Carrera 58 #21-23,1,4.04,INMEDIATA,15,True,2025-07-24
